net,component,pin
+5V,U2,3
+5V,U3,8
+5V,C1,1
+5V,C4,1
+3V3,U2,2
+3V3,U1,2
+3V3,R1,1
+3V3,C2,1
+3V3,C3,1
GND,U1,1
GND,U1,40
GND,U1,41
GND,U2,1
GND,U3,5
GND,C1,2
GND,C2,2
GND,C3,2
GND,C4,2
GND,R2,2
GND,R5,2
GND,R6,2
GND,R8,2
EN,U1,3
EN,R1,2
MAIN_TX_5V,R4,1
MAIN_RX_3V3,R4,2
MAIN_RX_3V3,R5,1
MAIN_RX_3V3,U1,11
MAIN_RX_INPUT,U1,10
FACTORY_TX_5V,R3,1
FACTORY_RX_3V3,R3,2
FACTORY_RX_3V3,R2,1
FACTORY_RX_3V3,U1,8
FACTORY_RX_INPUT,U1,9
MAX485_RO,U3,1
MAX485_RO,R7,1
MB_RX,R7,2
MB_RX,R6,1
MB_RX,U1,12
MB_TX,U1,17
MB_TX,U3,4
MB_DE,U1,23
MB_DE,U3,2
MB_DE,U3,3
MB_DE,R8,1
PROG_TX,U1,37
PROG_RX,U1,36
RS485_A,U3,6
RS485_B,U3,7
